ADMINISTRADORA,VENCIMENTO DA PARCELA,FORMA DE PAGAMENTO,DIA DA ASSEMBLEIA,CONTRATAÇÃO,VENDEDOR,NOME,GRUPO,COTA,TIPO DE CONSÓRCIO,ACESSO A COTA ,TELEFONE,E-MAIL
CANOPUS,15,BOLETO,15,10/1/2025,VENDEDOR EXEMPLO,CLIENTE EXEMPLO UM,1234,56,IMÓVEL,,(11) 90000-0001,cliente.um@exemplo.com
CANOPUS,15,BOLETO,15,10/1/2025,VENDEDOR EXEMPLO,CLIENTE EXEMPLO UM,1234,89,IMÓVEL,,(11) 90000-0001,cliente.um@exemplo.com
CANOPUS,15,BOLETO,15,10/31/2025,VENDEDOR EXEMPLO,CLIENTE EXEMPLO UM,4321,1010,AUTOMÓVEL,,(11) 90000-0001,cliente.um@exemplo.com
CANOPUS,15,BOLETO,15,12/13/2024,VENDEDOR EXEMPLO,CLIENTE EXEMPLO DOIS,1234,102,IMÓVEL,,,
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO TRES,5678,11,IMÓVEL,,,
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO TRES,5678,22,IMÓVEL,,,
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO TRES,5678,3333,IMÓVEL,,,
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO QUATRO,9012,404,AUTOMÓVEL,,(11) 90000-0004,
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO QUATRO,9012,1444,AUTOMÓVEL,,(11) 90000-0004,
CANOPUS,20,PIX,20,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO CINCO,3456,777,IMÓVEL,,,
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO SEIS,9012,808,AUTOMÓVEL,,,cliente.seis@exemplo.com
CANOPUS,15,BOLETO,15,,VENDEDOR EXEMPLO,CLIENTE EXEMPLO SEIS,7890,2020,AUTOMÓVEL,,,cliente.seis@exemplo.com
